"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","b_rbi","b_total_bases","r_total_caught_stealing","r_total_stolen_base","b_gnd_into_dp","b_hit_by_pitch","b_intent_walk","b_sac_bunt","b_sac_fly","xba","xslg","woba","xwoba","xobp","xiso","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","solidcontact_percent","flareburner_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Bichette, Bo",666182,2023,25,571,601,175,122,30,3,20,115,27,19.1,4.5,".306",".475",".339","0.814","0.169","73","271","3","5","14","2","0","0","1",".301",".496",".349",".356",".335",".195","90.2","6.2",38.3,44,9.6,6.1,31.5,44.9,"101.736681894","95.184330552",21.1,56.6
"Bauers, Jake",641343,2023,27,242,272,49,22,15,0,12,95,27,34.9,9.9,".202",".413",".279","0.692","0.211","30","100","2","3","3","0","0","0","3",".223",".478",".297",".334",".300",".255","89.1","13.8",36,28,18.7,5.3,20.7,48.7,"102.0116428","95.506092133",33.3,45.8
"Kirk, Alejandro",672386,2023,24,372,422,93,69,16,0,8,45,42,10.7,10,".250",".358",".334","0.692","0.108","43","133","0","0","21","6","1","0","2",".252",".392",".308",".321",".336",".141","87.6","6.3",31.9,17,5.2,5.5,25.5,38.3,"98.523712317","93.313905535",12.8,41.6
"Bregman, Alex",608324,2023,29,622,724,163,106,28,4,25,87,92,12,12.7,".262",".441",".363","0.804","0.179","98","274","1","3","22","8","1","0","2",".263",".440",".351",".353",".365",".178","88.6","17.6",35.8,29,5.4,10.1,24.8,38.2,"98.071537732","93.248960689",14.1,38.7
"Encarnacion-Strand, Christian",687952,2023,23,222,241,60,40,7,0,13,69,14,28.6,5.8,".270",".477",".328","0.805","0.207","37","106","0","2","5","5","0","0","0",".266",".480",".346",".346",".324",".214","90.3","18.6",38.6,16,10.5,8.5,29.4,48.4,"101.855748701","95.359737582",29.4,52.7
"Friedl, TJ",670770,2023,27,488,556,136,88,22,8,18,90,47,16.2,8.5,".279",".467",".352","0.819","0.188","66","228","6","27","0","10","1","8","3",".238",".325",".353",".290",".317",".087","86.7","16.1",32,13,3.2,2.2,26.9,27.6,"96.368739947","92.196228515",18.4,42.2
"Ruiz, Esteury",665923,2023,24,449,497,114,84,24,1,5,99,20,19.9,4,".254",".345",".309","0.654","0.091","47","155","13","67","7","16","1","4","1",".234",".324",".290",".275",".290",".090","82.7","9.9",32.7,9,2.5,3.4,25.1,20,"93.969654118","91.300618171",25.3,51.9
"Segura, Jean",516416,2023,33,301,326,66,56,5,2,3,47,22,14.4,6.7,".219",".279",".277","0.556","0.060","21","84","2","6","12","2","1","1","0",".238",".343",".250",".284",".295",".106","88","2.9",22.4,9,3.5,5.9,20.4,38.8,"99.845816452","94.042211093",19.2,50.5
"Tovar, Ezequiel",678662,2023,21,581,615,147,91,37,4,15,166,25,27,4.1,".253",".408",".287","0.695","0.155","73","237","5","11","10","4","0","2","3",".243",".389",".298",".290",".279",".145","88","12.6",36.4,34,8.1,3.6,29.8,36.2,"99.019446394","93.628807036",31.3,59.7
"Barnes, Austin",605131,2023,33,178,200,32,25,5,0,2,43,17,21.5,8.5,".180",".242",".256","0.498","0.062","11","43","1","2","7","2","0","1","2",".211",".310",".229",".273",".288",".100","84.8","6.1",28.3,4,2.9,5.1,23.9,25.4,"96.019005147","92.044198148",22.2,44
"Castro, Rodolfo",666801,2023,24,227,256,48,35,7,0,6,74,23,28.9,9,".211",".322",".297","0.619","0.111","24","73","4","1","4","5","1","0","1",".188",".327",".277",".269",".276",".139","87.2","7.6",27.9,12,7.8,2.6,19.5,35.1,"99.104106883","93.615443987",32.9,47.6
"De La Cruz, Bryan",650559,2023,26,579,626,149,98,32,0,19,142,40,22.7,6.4,".257",".411",".304","0.715","0.154","78","238","1","4","18","1","0","0","5",".267",".446",".309",".330",".316",".179","89.9","11.8",41,39,8.8,7.2,27.4,42.5,"100.272527091","94.400399818",28.7,50.1
"Pratto, Nick",668472,2023,24,306,345,71,48,16,0,7,138,29,40,8.4,".232",".353",".307","0.660","0.121","35","108","1","1","3","6","0","0","4",".205",".335",".292",".277",".284",".130","87.5","13.4",40.7,14,8.1,6.4,31.4,41.9,"99.593088023","93.891924767",35.3,43.1
"Rutschman, Adley",668939,2023,25,588,687,163,111,31,1,20,101,92,14.7,13.4,".277",".435",".374","0.809","0.158","80","256","2","1","14","2","6","0","5",".289",".473",".352",".374",".387",".184","88.4","12.6",37,37,7.5,6.5,28.7,38.6,"99.614450772","93.937278476",15.6,41
"Mancini, Trey",641820,2023,31,235,263,55,39,12,0,4,78,21,29.7,8,".234",".336",".299","0.635","0.102","28","79","0","0","5","2","1","0","3",".211",".334",".280",".274",".282",".123","88.9","12.3",32.5,6,3.8,8.8,25,40.6,"99.887541875","94.139181069",32.7,49.5
"Mullins, Cedric",656775,2023,28,404,455,94,53,23,3,15,101,43,22.2,9.5,".233",".416",".305","0.721","0.183","74","168","3","19","6","1","1","3","4",".224",".359",".311",".291",".299",".134","88.9","21.6",28.1,20,6.5,3.5,24.8,37.1,"98.843959934","93.556146126",24.9,49.6
"Arroyo, Christian",624414,2023,28,195,206,47,28,16,0,3,45,7,21.8,3.4,".241",".369",".268","0.637","0.128","24","72","3","1","8","1","0","1","2",".232",".348",".274",".272",".265",".116","86.3","11.1",35.9,7,4.6,5.2,26.1,32.7,"97.619093067","92.82512",25.3,59.7
"Alvarez, Yordan",670541,2023,26,410,496,120,64,24,1,31,92,69,18.5,13.9,".293",".583",".407","0.990","0.290","97","239","0","0","7","13","5","0","4",".292",".632",".415",".436",".409",".340","93.3","17.1",35.7,58,18,7.1,20.8,52.2,"104.629318875","96.977658344",22.4,43.7
"Smith, Pavin",656976,2023,27,191,228,36,24,5,0,7,45,35,19.7,15.4,".188",".325",".317","0.642","0.137","30","62","1","1","3","1","0","0","0",".221",".390",".293",".328",".345",".169","89.9","13.8",34.9,11,7.5,7.5,21.9,41.8,"99.896326164","94.182208207",20.1,40.4
