pitch_type,game_date,release_speed,player_name,batter,events,description,zone,b_swings,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hit_distance_sc,launch_speed,launch_angle,game_pk,estimated_ba_using_speedangle,launch_speed_angle,pitch_number,pitch_name,home_score,away_score,post_away_score,post_home_score,if_fielding_alignment,of_fielding_alignment,delta_run_exp,bat_win_exp
CH,9/28/2025,83.8,"Barger, Addison",680718,strikeout,swinging_strike,7,L,L,TOR,TB,S,2,,0,2,2025,,672386,,2,3,Bot,,,,776145,,,4,Changeup,5,4,4,5,Standard,Standard,-0.193,0.642
FC,9/28/2025,86,"Kirk, Alejandro",672386,double,hit_into_play,5,R,L,TOR,TB,X,8,line_drive,3,2,2025,,,,2,3,Bot,372,102.1,21,776145,0.407,5,9,Cutter,5,4,4,5,Standard,Standard,0.511,0.635
FF,9/28/2025,90.4,"Santander, Anthony",623993,strikeout,called_strike,7,R,L,TOR,TB,S,2,,2,2,2025,,,,0,3,Bot,,,,776145,,,5,4-Seam Fastball,5,4,4,5,Standard,Standard,-0.232,0.666
FC,9/28/2025,87.6,"Schneider, Davis",676914,strikeout,swinging_strike,2,R,L,TOR,TB,S,2,,2,2,2025,,,543807,1,2,Bot,,,,776145,,,5,Cutter,5,1,1,5,Infield shade,Standard,-0.222,0.876
CH,9/28/2025,83.5,"Springer, George",543807,single,hit_into_play,12,R,L,TOR,TB,X,8,ground_ball,1,2,2025,,,,1,2,Bot,70,100.2,2,776145,0.466,4,4,Changeup,5,1,1,5,Infield shade,Standard,0.489,0.867
CH,9/28/2025,83.5,"Straw, Myles",664702,strikeout,foul_tip,8,R,L,TOR,TB,S,2,,0,2,2025,,,,0,2,Bot,,,,776145,,,4,Changeup,5,1,1,5,Standard,Standard,-0.165,0.874
FF,9/28/2025,92.6,"Clement, Ernie",676391,strikeout,swinging_strike,12,R,L,TOR,TB,S,2,,0,2,2025,,,,2,1,Bot,,,,776145,,,3,4-Seam Fastball,5,1,1,5,Standard,Standard,-0.16,0.845
FF,9/28/2025,92.4,"Barger, Addison",680718,strikeout,swinging_strike,1,L,L,TOR,TB,S,2,,1,2,2025,,,,1,1,Bot,,,,776145,,,4,4-Seam Fastball,5,1,1,5,Strategic,Standard,-0.18,0.852
CH,9/28/2025,83.3,"Kirk, Alejandro",672386,home_run,hit_into_play,4,R,L,TOR,TB,X,,fly_ball,2,2,2025,676914,665489,662139,1,1,Bot,387,102.7,25,776145,0.611,6,7,Changeup,1,1,1,5,Standard,Standard,0.996,0.634
CH,9/28/2025,85.8,"Kiner-Falefa, Isiah",643396,field_out,hit_into_play,8,R,R,TOR,TB,X,6,ground_ball,1,2,2025,,664770,,2,8,Bot,3,85.9,-31,776145,0.054,2,4,Changeup,13,4,4,13,Standard,Standard,-0.206,0.999
