pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CH,9/28/2025,83.8,1.19,6.05,"Barger, Addison",680718,693855,strikeout,swinging_strike,,,,,7,Addison Barger strikes out swinging.,R,L,L,TOR,TB,S,2,,0,2,2025,1.1,0.87,-0.464542032,1.9226608608779896,,672386,,2,3,Bot,,,,,,,-5.943606815,-121.9769774,-4.890722869,12.115959955710203,21.27986516625356,-22.68251534,3.7,1.71,,,,83.7,1614,6,776145,676439,676044,656484,691406,700246,680700,663968,666139,54.53,,0,0,1,0,0,,31,4,Changeup,5,4,5,4,4,5,5,4,Standard,Standard,134,-0.019,-0.193,73.7,7.8,,0.193,,1,1,0.642,0.642,26,25,27,26,2,1,5,1,,6,2.34,1.1,1.1,52.2,4.961999421325899,-4.712068316,34.503740241948854,38.277097869722255,28.74593537750388
FC,9/28/2025,86,1.38,5.87,"Kirk, Alejandro",672386,693855,double,hit_into_play,,,,,5,Alejandro Kirk doubles (18) on a sharp line drive to center fielder Jake Mangum.,R,R,L,TOR,TB,X,8,line_drive,3,2,2025,-0.31,0.83,-0.015358074,2.2095526521222135,,,,2,3,Bot,68.84,58.83,,,,,-2.683376091,-125.3608847,-4.2531539,-2.859629976,20.12938279668626,-22.73572212,3.14,1.5,372,102.1,21,86.5,2065,6,776145,676439,676044,656484,691406,700246,680700,663968,666139,54.46,0.407,0.6542631578947369,1.25,1,1,1,5,30,9,Cutter,5,4,5,4,4,5,5,4,Standard,Standard,169,0.02,0.511,79,7.8,1.205,-0.511,102.1,1,1,0.635,0.635,26,26,27,27,2,1,5,1,,6,2.19,-0.31,0.31,49.1,9.677356488746605,-12.47689392,23.15710396165319,42.05653005248621,36.25581333641044
FF,9/28/2025,90.4,1.19,5.93,"Santander, Anthony",623993,693855,strikeout,called_strike,,,,,7,Anthony Santander called out on strikes.,R,R,L,TOR,TB,S,2,,2,2,2025,0.2,1.31,-0.620984626,1.9179533771714996,,,,0,3,Bot,,,,,,,-4.929715404,-131.498511,-6.844423738,3.303506992,27.694229037723442,-15.7202076,3.44348622,1.596881528,,,,90.5,2132,6.4,776145,676439,676044,656484,691406,700246,680700,663968,666139,54.13,,0,0,1,0,0,,28,5,4-Seam Fastball,5,4,5,4,4,5,5,4,Standard,Standard,154,-0.018,-0.232,,,,0.232,,1,1,0.666,0.666,26,30,27,31,2,1,5,2,,6,1.48,0.2,-0.2,52.1,,,,,
FC,9/28/2025,87.6,1.54,5.82,"Schneider, Davis",676914,693855,strikeout,swinging_strike,,,,,2,Davis Schneider strikes out swinging.,R,R,L,TOR,TB,S,2,,2,2,2025,-0.02,0.86,0.14142637688793772,3.134990434878077,,,543807,1,2,Bot,,,,,,,-3.341086057,-127.5679091,-2.152282233,0.44739205928200904,25.419848558222952,-22.54847393,3.13,1.51,,,,87.6,2089,6.2,776145,676439,676044,656484,691406,700246,680700,663968,666139,54.3,,0,0,1,0,0,,18,5,Cutter,5,1,5,1,1,5,5,1,Infield shade,Standard,155,-0.009,-0.222,67.6,6.3,,0.222,,4,4,0.876,0.876,26,26,27,26,2,1,5,1,,7,2.1,-0.02,0.02,45,15.08560034358946,20.58354065099957,27.280479819488328,37.74292708,20.06935402203562
CH,9/28/2025,83.5,1.26,6,"Springer, George",543807,693855,single,hit_into_play,,,,,12,George Springer singles on a sharp ground ball to center fielder Jake Mangum.,R,R,L,TOR,TB,X,8,ground_ball,1,2,2025,1.09,0.99,1.0587554186319275,3.060056150676291,,,,1,2,Bot,121,97,,,,,-2.58744958,-121.6760592,-2.316803809,11.340368864153922,22.980544718020788,-22.09828328,3.55,1.64,70,100.2,2,83.4,1588,6.1,776145,676439,676044,656484,691406,700246,680700,663968,666139,54.41,0.466,0.429,0.9,1,1,0,4,17,4,Changeup,5,1,5,1,1,5,5,1,Infield shade,Standard,130,0.011,0.489,72.8,7.5,0.512,-0.489,100.2,4,4,0.867,0.867,26,35,27,36,2,1,5,1,,6,2.26,1.09,-1.09,55.3,14.26537503675396,9.096897060208857,28.385126437801265,48.440766731322185,18.53583429765118
CH,9/28/2025,83.5,1.24,6.01,"Straw, Myles",664702,693855,strikeout,foul_tip,,,,,8,Myles Straw strikes out on a foul tip.,R,R,L,TOR,TB,S,2,,0,2,2025,1.3,0.62,0.004166698,1.7506887390927193,,,,0,2,Bot,,,,,,,-5.391543975,-121.5921777,-4.640911544,13.992319671517336,21.73626245,-25.33014015,3.44,1.6,,,,83.5,1648,6,776145,676439,676044,656484,691406,700246,680700,663968,666139,54.45,,0,0,1,0,0,,16,4,Changeup,5,1,5,1,1,5,5,1,Standard,Standard,126,-0.005,-0.165,64.1,8.1,,0.165,,4,4,0.874,0.874,26,30,27,31,1,0,5,1,,6,2.62,1.3,-1.3,51.9,24.03137024395554,-20.4560178,40.46317271773748,34.03671730365871,38.932163148688474
FF,9/28/2025,92.6,1.25,6.03,"Clement, Ernie",676391,693855,strikeout,swinging_strike,,,,,12,Ernie Clement strikes out swinging.,R,R,L,TOR,TB,S,2,,0,2,2025,0.26,1.47,0.6883145482040378,4.117141154726726,,,,2,1,Bot,,,,,,,-2.007314228,-134.7877629,-2.252838346,3.656413056012052,31.111152707585678,-13.98481707,3.37,1.55,,,,91.9,2207,6,776145,676439,676044,656484,691406,700246,680700,663968,666139,54.48,,0,0,1,0,0,,12,3,4-Seam Fastball,5,1,5,1,1,5,5,1,Standard,Standard,155,-0.003,-0.16,62.3,6.2,,0.16,,4,4,0.845,0.845,26,29,27,29,1,0,5,1,,6,1.2,0.26,-0.26,52.4,3.420690481512245,12.96292945118659,10.353476725060286,44.80276627455913,18.44371847651375
FF,9/28/2025,92.4,1.14,6.08,"Barger, Addison",680718,693855,strikeout,swinging_strike,,,,,1,Addison Barger strikes out swinging.,R,L,L,TOR,TB,S,2,,1,2,2025,0.22,1.57,-0.72924764,3.5312542201885506,,,,1,1,Bot,,,,,,,-5.206883306,-134.4649765,-4.075448146,3.7607870300674966,28.526089472693414,-12.47552302,3.7,1.71,,,,92,2211,6,776145,676439,676044,656484,691406,700246,680700,663968,666139,54.52,,0,0,1,0,0,,11,4,4-Seam Fastball,5,1,5,1,1,5,5,1,Strategic,Standard,161,-0.005,-0.18,74.4,6.7,,0.18,,4,4,0.852,0.852,26,25,27,26,1,0,5,1,,6,1.1,0.22,0.22,60.4,-0.280452547,22.418823366309624,25.35226626732978,42.29377888426743,15.381561690935118
CH,9/28/2025,83.3,1.22,5.94,"Kirk, Alejandro",672386,693855,home_run,hit_into_play,,,,,4,Alejandro Kirk hits a grand slam (14) to left center field. Davis Schneider scores. Vladimir Guerrero Jr. scores. Daulton Varsho scores.,R,R,L,TOR,TB,X,,fly_ball,2,2,2025,1.17,0.56,-0.392291634,2.5086086733106256,676914,665489,662139,1,1,Bot,55.3,59.15,,,,,-5.934344382,-121.3442526,-2.615325043,12.643764818605753,20.083202320379996,-26.30928833,3.14,1.5,387,102.7,25,83.2,1649,5.8,776145,676439,676044,656484,691406,700246,680700,663968,666139,54.66,0.611,1.139111111111111,2,1,0,3,6,10,7,Changeup,1,1,1,1,1,5,5,1,Standard,Standard,122,0.22,0.996,77.3,7.2,2.2,-0.996,102.7,0,0,0.634,0.634,26,26,27,27,1,0,5,1,,6,2.68,1.17,-1.17,46.5,16.46722376292883,0.6870855438726287,20.222428953567558,36.574367410684125,37.517984391555814
CH,9/28/2025,85.8,-0.84,6.48,"Kiner-Falefa, Isiah",643396,641329,field_out,hit_into_play,,,,,8,"Isiah Kiner-Falefa grounds out, shortstop Carson Williams to first baseman Bob Seymour.",R,R,R,TOR,TB,X,6,ground_ball,1,2,2025,-1.04,0.33,0.079097212,1.6650468291119518,,664770,,2,8,Bot,110.13,152.85,,,,,4.323861913381828,-124.7920221,-5.85925379,-11.72912558,24.238352789382237,-27.75492159,3.23,1.47,3,85.9,-31,86.6,1642,6.7,776145,676439,676044,656484,691406,700246,680700,663968,666139,53.75,0.054,0.054,0,1,0,0,2,79,4,Changeup,13,4,13,4,4,13,13,4,Standard,Standard,224,0,-0.206,71.2,7,0.055,0.206,88,9,9,0.999,0.999,30,30,31,30,1,0,4,4,,6,2.76,1.04,1.04,52.9,2.848995057097162,10.757795318637047,34.606967270880546,37.76979319878268,29.63120810231432
