pitch_type,game_date,release_speed,player_name,batter,events,description,zone,b_swings,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hit_distance_sc,launch_speed,launch_angle,game_pk,estimated_ba_using_speedangle,launch_speed_angle,pitch_number,pitch_name,home_score,away_score,post_away_score,post_home_score,if_fielding_alignment,of_fielding_alignment,delta_run_exp,bat_win_exp
FF,9/29/2024,90.3,"Grichuk, Randal",545341,home_run,hit_into_play,6,R,R,AZ,SD,X,,fly_ball,3,2,2024,,677950,,2,8,Bot,392,102.7,31,747147,0.626,6,9,4-Seam Fastball,9,2,2,11,Standard,Standard,1.593,0.999
KN,9/29/2024,75.9,"Carroll, Corbin",682998,field_out,hit_into_play,11,L,R,AZ,SD,X,4,fly_ball,2,2,2024,,,,0,8,Bot,191,80.2,59,747147,0.026,3,5,Knuckleball,9,2,2,9,Infield shade,Standard,-0.227,0.999
KN,9/29/2024,77.8,"Marte, Ketel",606466,field_out,hit_into_play,8,L,R,AZ,SD,X,8,line_drive,1,2,2024,,664983,,2,7,Bot,380,106.2,18,747147,0.444,6,4,Knuckleball,9,2,2,9,Infield shade,Standard,-0.212,0.997
KN,9/29/2024,78.5,"Perdomo, Geraldo",672695,strikeout,called_strike,4,L,R,AZ,SD,S,2,,2,2,2024,,,664983,1,7,Bot,,,,747147,,,5,Knuckleball,9,2,2,9,Infield shade,Standard,-0.229,0.997
KN,9/29/2024,83,"McCarthy, Jake",664983,single,hit_into_play,9,L,R,AZ,SD,X,3,ground_ball,1,2,2024,,,,0,7,Bot,9,90.1,-11,747147,0.173,2,4,Knuckleball,9,2,2,9,Standard,Standard,0.516,0.997
FF,9/29/2024,90.3,"Suárez, Eugenio",553993,home_run,hit_into_play,2,R,R,AZ,SD,X,,fly_ball,2,2,2024,,,,0,7,Bot,438,106.8,28,747147,1,6,7,4-Seam Fastball,8,2,2,9,Strategic,Standard,1.142,0.993
FF,9/29/2024,90,"Marte, Ketel",606466,field_out,hit_into_play,11,R,L,AZ,SD,X,8,fly_ball,2,2,2024,,672515,,1,3,Bot,320,91.5,40,747147,0.008,3,6,4-Seam Fastball,0,1,1,0,Standard,Standard,-0.203,0.454
KN,9/29/2024,81.1,"Carroll, Corbin",682998,force_out,hit_into_play,1,L,R,AZ,SD,X,6,ground_ball,0,2,2024,,,606466,1,6,Bot,15,102.6,-10,747147,0.316,2,3,Knuckleball,7,2,2,7,Infield shade,Standard,-0.222,0.973
FF,9/29/2024,90.9,"Marte, Ketel",606466,force_out,hit_into_play,2,L,R,AZ,SD,X,6,ground_ball,1,2,2024,,,672695,0,6,Bot,36,97.2,-4,747147,0.296,2,7,4-Seam Fastball,7,2,2,7,Infield shade,Standard,-0.295,0.976
SI,9/29/2024,90.6,"Perdomo, Geraldo",672695,single,hit_into_play,5,L,R,AZ,SD,X,9,line_drive,2,2,2024,,,,0,6,Bot,228,102.8,14,747147,0.745,4,6,Sinker,7,2,2,7,Strategic,Standard,0.476,0.974
FC,9/29/2024,82.2,"McCarthy, Jake",664983,strikeout,swinging_strike,14,L,L,AZ,SD,S,2,,0,2,2024,,,,2,2,Bot,,,,747147,,,3,Cutter,0,1,1,0,Strategic,Standard,-0.157,0.395
SI,9/29/2024,89.8,"Suárez, Eugenio",553993,strikeout,called_strike,13,R,L,AZ,SD,S,2,,3,2,2024,,,,1,2,Bot,,,,747147,,,6,Sinker,0,1,1,0,Standard,Standard,-0.332,0.422
KN,9/29/2024,80.1,"Moreno, Gabriel",672515,strikeout,swinging_strike,14,R,R,AZ,SD,S,2,,1,2,2024,,664983,,2,5,Bot,,,,747147,,,4,Knuckleball,7,1,1,7,Standard,Standard,-0.213,0.976
ST,9/29/2024,83,"Suárez, Eugenio",553993,strikeout,swinging_strike,14,R,R,AZ,SD,S,2,,1,2,2024,,545341,,1,5,Bot,,,,747147,,,4,Sweeper,6,1,1,6,Standard,Standard,-0.198,0.962
CU,9/29/2024,78.4,"Walker, Christian",572233,grounded_into_double_play,hit_into_play,14,R,L,AZ,SD,X,5,ground_ball,0,2,2024,,606466,666971,1,1,Bot,35,82.4,0,747147,0.192,2,3,Curveball,0,0,0,0,Standard,Standard,-0.22,0.569
FC,9/29/2024,84.6,"Carroll, Corbin",682998,strikeout,swinging_strike,7,L,L,AZ,SD,S,2,,0,2,2024,,,606466,0,1,Bot,,,,747147,,,3,Cutter,0,0,0,0,Infield shade,Standard,-0.15,0.57
SI,9/29/2024,90.5,"Marte, Ketel",606466,single,hit_into_play,6,R,L,AZ,SD,X,7,ground_ball,2,2,2024,,,,0,1,Bot,17,107.2,-9,747147,0.349,2,5,Sinker,0,0,0,0,Standard,Standard,0.476,0.545
KN,9/29/2024,77.4,"Gurriel Jr., Lourdes",666971,field_out,hit_into_play,14,R,R,AZ,SD,X,6,ground_ball,1,2,2024,,682998,,2,4,Bot,106,83.5,6,747147,0.361,4,5,Knuckleball,6,1,1,6,Standard,Standard,-0.211,0.942
ST,9/28/2024,83.6,"Gurriel Jr., Lourdes",666971,strikeout,swinging_strike,14,R,R,AZ,SD,S,2,,0,2,2024,682998,592626,,2,6,Bot,,,,747146,,,3,Sweeper,0,0,0,0,Strategic,Standard,-0.176,0.551
FC,9/28/2024,89.1,"Walker, Christian",572233,strikeout,swinging_strike,6,R,R,AZ,SD,S,2,,3,2,2024,,682998,592626,1,6,Bot,,,,747146,,,7,Cutter,0,0,0,0,Infield shade,Standard,-0.299,0.642
FC,9/28/2024,89.2,"Carroll, Corbin",682998,double,hit_into_play,8,L,R,AZ,SD,X,9,line_drive,0,2,2024,,,,0,6,Bot,270,106.9,15,747146,0.666,5,5,Cutter,0,0,0,0,Infield shade,Standard,0.784,0.562
SI,9/28/2024,94,"Suárez, Eugenio",553993,field_out,hit_into_play,5,R,R,AZ,SD,X,9,fly_ball,2,2,2024,,,,0,5,Bot,356,102,40,747146,0.278,5,5,Sinker,0,0,0,0,Strategic,Standard,-0.227,0.562
FF,9/28/2024,94.8,"McCarthy, Jake",664983,field_out,hit_into_play,5,L,R,AZ,SD,X,7,line_drive,2,2,2024,,,572233,2,4,Bot,272,80.8,27,747146,0.174,3,5,4-Seam Fastball,0,0,0,0,Infield shade,Standard,-0.234,0.524
FF,9/28/2024,93.5,"Gurriel Jr., Lourdes",666971,field_out,hit_into_play,6,R,R,AZ,SD,X,9,fly_ball,1,2,2024,,,572233,1,4,Bot,263,89.8,47,747146,0.001,3,4,4-Seam Fastball,0,0,0,0,Standard,Standard,-0.186,0.552
ST,9/28/2024,84.2,"Pederson, Joc",592626,field_out,hit_into_play,8,L,R,AZ,SD,X,9,fly_ball,1,2,2024,,,,0,4,Bot,263,98.5,51,747146,0.008,3,4,Sweeper,0,0,0,0,Infield shade,Standard,-0.186,0.552
FC,9/28/2024,90.1,"Carroll, Corbin",682998,field_out,hit_into_play,4,L,R,AZ,SD,X,6,ground_ball,3,2,2024,,672695,,1,3,Bot,3,90.3,-44,747146,0.116,2,6,Cutter,0,0,0,0,Infield shade,Standard,-0.273,0.58
ST,9/28/2024,82.8,"Perdomo, Geraldo",672695,force_out,hit_into_play,7,L,R,AZ,SD,X,4,ground_ball,1,2,2024,,,672515,0,3,Bot,32,88.6,-1,747146,0.259,2,4,Sweeper,0,0,0,0,Infield shade,Standard,-0.295,0.584
FC,9/28/2024,90.3,"Suárez, Eugenio",553993,strikeout,called_strike,4,R,R,AZ,SD,S,2,,3,2,2024,,,,2,2,Bot,,,,747146,,,8,Cutter,0,0,0,0,Standard,Standard,-0.325,0.513
SL,9/28/2024,85,"Suárez, Eugenio",553993,strikeout,swinging_strike,14,R,L,AZ,SD,S,2,,3,2,2024,572233,,,2,9,Bot,,,,747146,,,7,Slider,0,5,5,0,Standard,Standard,-0.252,0.002
CH,9/28/2024,89.3,"Marte, Ketel",606466,force_out,hit_into_play,14,R,L,AZ,SD,X,6,ground_ball,1,2,2024,,,672695,1,8,Bot,5,100.4,-15,747146,0.22,2,4,Changeup,0,0,0,0,Standard,Standard,-0.244,0.591
