pitch_type,game_date,release_speed,player_name,batter,events,description,zone,b_swings,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hit_distance_sc,launch_speed,launch_angle,game_pk,estimated_ba_using_speedangle,launch_speed_angle,pitch_number,pitch_name,home_score,away_score,post_away_score,post_home_score,if_fielding_alignment,of_fielding_alignment,delta_run_exp,bat_win_exp
FF,9/29/2024,95,"Lewis, Royce",668904,double_play,hit_into_play,2,R,R,MIN,BAL,X,4,line_drive,3,2,2024,,,686797,1,6,Bot,151,96.5,5,745846,0.521,4,7,4-Seam Fastball,2,3,3,2,Standard,Standard,-0.31,0.411
FF,9/29/2024,95.1,"Lee, Brooks",686797,single,hit_into_play,6,L,R,MIN,BAL,X,9,line_drive,2,2,2024,,,,1,6,Bot,236,78.2,21,745846,0.926,4,6,4-Seam Fastball,2,3,3,2,Infield shade,Standard,0.453,0.352
CH,9/29/2024,87.2,"Julien, Edouard",666397,strikeout,swinging_strike,5,L,R,MIN,BAL,S,2,,2,2,2024,,,,2,5,Bot,,,,745846,,,5,Changeup,2,3,3,2,Infield shade,Standard,-0.219,0.354
FC,9/29/2024,85,"Farmer, Kyle",571657,field_out,hit_into_play,12,R,R,MIN,BAL,X,9,fly_ball,0,2,2024,,,467793,1,4,Bot,311,87.4,34,745846,0.026,3,3,Cutter,2,0,0,2,Standard,Standard,-0.163,0.779
FC,9/29/2024,86.2,"Lewis, Royce",668904,strikeout,swinging_strike,14,R,R,MIN,BAL,S,2,,1,2,2024,,,,0,4,Bot,,,,745846,,,4,Cutter,2,0,0,2,Standard,Standard,-0.186,0.781
CU,9/29/2024,82.2,"Martin, Austin",668885,strikeout,swinging_strike,9,R,R,MIN,BAL,S,2,,0,2,2024,,,,1,3,Bot,,,,745846,,,3,Curveball,2,0,0,2,Standard,Standard,-0.162,0.744
CU,9/29/2024,79.3,"Santana, Carlos",467793,home_run,hit_into_play,11,L,R,MIN,BAL,X,,fly_ball,0,2,2024,,,,0,2,Bot,393,100.9,27,745846,0.529,6,3,Curveball,0,0,0,1,Infield shade,Standard,1.205,0.542
ST,9/29/2024,85.2,"Vázquez, Christian",543877,strikeout,swinging_strike,6,R,R,MIN,BAL,S,2,,0,2,2024,467793,,622534,1,7,Bot,,,,745846,,,3,Sweeper,2,5,5,2,Standard,Standard,-0.251,0.178
SI,9/29/2024,97.7,"Vázquez, Christian",543877,strikeout,swinging_strike,11,R,R,MIN,BAL,S,2,,1,2,2024,,,622534,2,9,Bot,,,,745846,,,5,Sinker,2,6,6,2,Standard,Standard,-0.196,0.005
CU,9/29/2024,79.3,"Lewis, Royce",668904,field_out,hit_into_play,3,R,R,MIN,BAL,X,4,popup,0,2,2024,,668885,,2,1,Bot,104,81.4,68,745846,0.005,3,3,Curveball,0,0,0,0,Standard,Standard,-0.194,0.52
FF,9/29/2024,93.6,"Lee, Brooks",686797,strikeout,swinging_strike,12,L,R,MIN,BAL,S,2,,1,2,2024,,,668885,1,8,Bot,,,,745846,,,6,4-Seam Fastball,2,6,6,2,Standard,Standard,-0.182,0.039
ST,9/29/2024,86.7,"Farmer, Kyle",571657,strikeout,swinging_strike,14,R,R,MIN,BAL,S,2,,0,2,2024,,,467793,0,7,Bot,,,,745846,,,3,Sweeper,2,5,5,2,Standard,Standard,-0.15,0.16
KC,9/29/2024,83.4,"Margot, Manuel",622534,single,hit_into_play,13,R,R,MIN,BAL,X,7,line_drive,1,2,2024,,,,2,9,Bot,223,106.4,8,745846,0.718,4,4,Knuckle Curve,2,6,6,2,Standard,Standard,0.408,0.001
CU,9/29/2024,79.6,"Julien, Edouard",666397,strikeout,swinging_strike,6,L,R,MIN,BAL,S,2,,2,2,2024,,,,0,1,Bot,,,,745846,,,6,Curveball,0,0,0,0,Infield shade,Standard,-0.227,0.545
SL,9/29/2024,86,"Helman, Michael",680737,field_out,hit_into_play,8,R,L,MIN,BAL,X,9,fly_ball,0,2,2024,467793,,622534,2,7,Bot,247,76.4,44,745846,0.103,3,3,Slider,2,5,5,2,Standard,Standard,-0.171,0.106
FS,9/28/2024,79.2,"Lewis, Royce",668904,field_out,hit_into_play,14,R,L,MIN,BAL,X,6,line_drive,1,2,2024,,,686797,0,6,Bot,159,69.9,16,745849,0.521,4,4,Split-Finger,0,8,8,0,Standard,Standard,-0.189,0.013
SL,9/28/2024,87.8,"Lee, Brooks",686797,single,hit_into_play,4,R,L,MIN,BAL,X,7,ground_ball,1,2,2024,,,,0,6,Bot,20,102.4,-7,745849,0.292,2,4,Slider,0,8,8,0,Standard,Standard,0.516,0.009
SL,9/28/2024,85.2,"Margot, Manuel",622534,field_out,hit_into_play,7,R,L,MIN,BAL,X,7,fly_ball,3,2,2024,,,,1,5,Bot,278,90.8,46,745849,0.008,3,8,Slider,0,8,8,0,Standard,Standard,-0.332,0.012
FS,9/28/2024,81,"Castro, Willi",650489,field_out,hit_into_play,13,R,L,MIN,BAL,X,4,ground_ball,1,2,2024,,,467793,1,4,Bot,7,66.9,-8,745849,0.067,2,4,Split-Finger,0,7,7,0,Standard,Standard,-0.244,0.033
FF,9/28/2024,92.8,"Lewis, Royce",668904,field_out,hit_into_play,1,R,L,MIN,BAL,X,6,fly_ball,2,2,2024,,,,0,4,Bot,190,87.8,60,745849,0.024,3,5,4-Seam Fastball,0,7,7,0,Standard,Standard,-0.227,0.035
FF,9/28/2024,94.9,"Farmer, Kyle",571657,strikeout,swinging_strike,1,R,L,MIN,BAL,S,2,,0,2,2024,,,,2,9,Bot,,,,745849,,,3,4-Seam Fastball,2,9,9,2,Standard,Standard,-0.157,0.001
CH,9/28/2024,86.2,"Jeffers, Ryan",680777,home_run,hit_into_play,5,R,L,MIN,BAL,X,,fly_ball,1,2,2024,,,467793,2,9,Bot,395,101.5,38,745849,0.312,5,5,Changeup,0,9,9,2,Standard,Standard,2.297,0.001
FS,9/28/2024,81.5,"Martin, Austin",668885,field_out,hit_into_play,5,R,L,MIN,BAL,X,6,ground_ball,2,2,2024,,,,1,3,Bot,54,88.4,2,745849,0.338,2,6,Split-Finger,0,6,6,0,Standard,Standard,-0.225,0.06
SI,9/28/2024,90.5,"Lewis, Royce",668904,strikeout,called_strike,1,R,R,MIN,BAL,S,2,,1,2,2024,,,686797,2,1,Bot,,,,745849,,,4,Sinker,0,2,2,0,Standard,Standard,-0.196,0.318
FF,9/28/2024,94.9,"Helman, Michael",680737,field_out,hit_into_play,5,R,L,MIN,BAL,X,6,popup,1,2,2024,,,467793,1,9,Bot,149,93.2,66,745849,0.008,3,4,4-Seam Fastball,0,9,9,0,Standard,Standard,-0.186,0.001
SI,9/28/2024,95.4,"Margot, Manuel",622534,strikeout,swinging_strike,13,R,R,MIN,BAL,S,2,,2,2,2024,,,,2,7,Bot,,,,745849,,,5,Sinker,0,9,9,0,Standard,Standard,-0.219,0.001
SL,9/28/2024,85.1,"Keirsey Jr., DaShawn",680577,field_out,hit_into_play,4,L,L,MIN,BAL,X,4,ground_ball,2,2,2024,,,,0,9,Bot,11,73.4,-13,745849,0.045,2,8,Slider,0,9,9,0,Standard,Standard,-0.227,0.001
FS,9/28/2024,82.4,"Farmer, Kyle",571657,strikeout,swinging_strike_blocked,14,R,L,MIN,BAL,S,2,,1,2,2024,,650489,680777,1,2,Bot,,,,745849,,,4,Split-Finger,0,5,5,0,Standard,Standard,-0.177,0.146
SI,9/28/2024,96.3,"Jeffers, Ryan",680777,field_out,hit_into_play,8,R,R,MIN,BAL,X,1,ground_ball,2,2,2024,,,,0,7,Bot,11,89.4,-8,745849,0.149,2,6,Sinker,0,9,9,0,Standard,Standard,-0.227,0.003
SI,9/28/2024,92.8,"Julien, Edouard",666397,strikeout,swinging_strike,5,L,R,MIN,BAL,S,2,,3,2,2024,,,,0,1,Bot,,,,745849,,,6,Sinker,0,2,2,0,Infield shade,Standard,-0.333,0.358
SV,9/28/2024,81.9,"Martin, Austin",668885,strikeout,swinging_strike_blocked,13,R,L,MIN,BAL,S,2,,1,2,2024,,,,1,8,Bot,,,,745849,,,4,Slurve,0,9,9,0,Standard,Standard,-0.182,0.001
FF,9/27/2024,93.4,"Castro, Willi",650489,field_out,hit_into_play,4,R,L,MIN,BAL,X,7,fly_ball,1,2,2024,,,,0,6,Bot,281,79.1,36,745847,0.034,3,4,4-Seam Fastball,0,2,2,0,Standard,Standard,-0.186,0.249
